TICKER;POIDS_PCT;NOM;SECTEUR;PAYS;SCORE_ESG;ITR_C;RENDEMENT_BL;MU_BL_PCT
MONC.MI;10,0;MONCLER SPA;Consumer Discretionary;Italy;18,51;1,7;6,66;6,656
PRY.MI;10,0;PRYSMIAN SPA;Industrials;Italy;16,92;1,3;7,8;7,799
DSFIR.AS;10,0;DSM-FIRMENICH AG;Materials;Netherlands;17,24;1,8;5,54;5,545
G24G.DE;10,0;SCOUT24 SE;Communication Services;Germany;17,37;1,5;5,85;5,85
ASRNL.AS;9,3053;ASR NEDERLAND NV;Financials;Netherlands;17,71;1,7;5,88;5,878
AGN.AS;7,2349;AEGON LTD;Financials;Netherlands;17,08;1,5;6,6;6,601
SIEG.DE;7,0773;SIEMENS AG-REG;Industrials;Germany;17,05;1,4;7,1;7,1
AENA.MC;5,8177;AENA SME SA;Industrials;Spain;18,6;1,9;5,03;5,028
NN.AS;5,1973;NN GROUP NV;Financials;Netherlands;16,95;1,3;5,75;5,748
ALVG.DE;4,0555;ALLIANZ SE-REG;Financials;Germany;17,22;1,7;5,45;5,454
SU.PA;3,67;SCHNEIDER ELECTRIC SE;Industrials;France;17,97;1,8;6,92;6,921
URW.PA;3,6105;UNIBAIL-RODAMCO-WESTFIELD;Real Estate;France;18,14;1,9;5,89;5,893
GRF.MC;3,2476;GRIFOLS SA;Health Care;Spain;19,77;1,5;7,03;7,027
DSY.PA;2,5648;DASSAULT SYSTEMES SE;Information Technology;France;18,42;1,6;5,22;5,221
G.MI;2,011;GENERALI;Financials;Italy;16,89;2,0;5,18;5,178
MUV2G.DE;1,7375;MUENCHENER RUECKVER AG-REG;Financials;Germany;17,12;1,3;4,99;4,991
KGXG.DE;1,5834;KION GROUP AG;Industrials;Germany;14,21;2,0;8,04;8,036
KESBV.HE;1,5355;KESKO OYJ-B SHS;Consumer Staples;Finland;17,67;1,7;4,43;4,425
WLN.PA;0,8908;WORLDLINE SA;Financials;France;17,42;1,3;8,19;8,191
HEIG.DE;0,461;HEIDELBERG MATERIALS AG;Materials;Germany;16,72;2,0;6,45;6,451
